ISO Currency code Numeric,Country,Currency,ISO Currency Code Alpha
516,,Namibia Dollar,NAD
36,Nauru,Australian Dollar,AUD
524,Nepal,Nepalese Rupee,NPR
528,Netherlands,Netherlands Guilder,NLG
532,Netherlands Antilles,Antillian Guilder,ANG
953,New Caledonia,CFP Franc,XPF
554,New Zealand,New Zealand Dollar,NZD
558,Nicaragua,Cordoba Oro,NIO
952,Niger,CFA Franc BCEAO,XOF
566,Nigeria,Naira,NGN
554,Niue,New Zealand Dollar,NZD
36,Norfolk Island,Australian Dollar,AUD
840,Northern Mariana Islands,US Dollar,USD
578,Norway,Norwegian Krone,NOK
512,Oman,Rial Omani,OMR
586,Pakistan,Pakistan Rupee,PKR
840,Palau,US Dollar,USD
590,Panama,Balboa,PAB
840,,US Dollar,USD
598,Papua New Guinea,Kina,PGK
600,Paraguay,Guarani,PYG
604,Peru,Nuevo Sol,PEN
608,Philippines,Philippine Peso,PHP
554,Pitcairn,New Zealand Dollar,NZD
985,Poland,Zloty,PLN
620,Portugal,Portuguese Escudo,PTE
840,Puerto Rico,US Dollar,USD
634,Qatar,Qatari Rial,QAR
250,Reunion,French Franc,FRF
642,Romania,Leu,ROL
810,Russian Federation,Russian Ruble,RUR
643,,Russian Ruble,RUB
646,Rwanda,Rwanda Franc,RWF
654,St Helena,St Helena Pound,SHP
951,St Kitts - Nevis,East Caribbean Dollar,XCD
951,Saint Lucia,East Caribbean Dollar,XCD
250,St Pierre and Miquelon,French Franc,FRF
951,Saint Vincent and The Grenadines,East Caribbean Dollar,XCD
882,Samoa,Tala,WST
380,San Marino,Italian Lira,ITL
678,Sao Tome and Principe,Dobra,STD
682,Saudi Arabia,Saudi Riyal,SAR
952,Senegal,CFA Franc BCEAO,XOF
690,Seychelles,Seychelles Rupee,SCR
694,Sierra Leone,Leone,SLL
702,Singapore,Singapore Dollar,SGD
703,Slovakia,Slovak Koruna,SKK
705,Slovenia,Tolar,SIT
90,Solomon Islands,Solomon Islands Dollar,SBD
706,Somalia,Somali Shilling,SOS
710,South Africa,Rand,ZAR
724,Spain,Spanish Peseta,ESP
144,Sri Lanka,Sri Lanka Rupee,LKR
736,Sudan,Sudanese Dinar,SDD
740,Suriname,Surinam Guilder,SRG
578,Svalbard and Jan Mayen Islands,Norwegian Krone,NOK
748,Swaziland,Lilangeni,SZL
752,Sweden,Swedish Krona,SEK
756,Switzerland,Swiss Franc,CHF
760,Syrian Arab Republic,Syrian Pound,SYP
901,"Taiwan, Province Of China",New Taiwan Dollar,TWD
972,Tajikistan,Somoni,TJS
762,Tajikistan (Old),Tajik Ruble (old),TJR
834,"Tanzania, United Republic Of",Tanzanian Shilling,TZS
764,Thailand,Baht,THB
952,Togo,CFA Franc BCEAO,XOF
554,Tokelau,New Zealand Dollar,NZD
776,Tonga,Pa'anga,TOP
780,Trinidad and Tobago,Trinidad and Tobago Dollar,TTD
788,Tunisia,Tunisian Dinar,TND
792,Turkey,Turkish Lira,TRL
795,Turkmenistan,Manat,TMM
840,Turks and Caicos Islands,US Dollar,USD
36,Tuvalu,Australian Dollar,AUD
800,Uganda,Uganda Shilling,UGX
980,Ukraine,Hryvnia,UAH
784,United Arab Emirates,UAE Dirham,AED
826,United Kingdom,Pound Sterling,GBP
840,United States,US Dollar,USD
998,,(Same day),USS
997,,(Next day),USN
840,United States Minor Outlaying Islands,US Dollar,USD
858,Uruguay,Peso Uruguayo,UYU
860,Uzbekistan,Uzbekistan Sum,UZS
548,Vanuatu,Vatu,VUV
380,Vatican City State (Holy See),Italian Lira,ITL
862,Venezuela,Bolivar,VEB
704,Vietnam,Dong,VND
840,Virgin Islands (British),US Dollar,USD
840,Virgin Islands (U.S.),US Dollar,USD
953,Wallis and Futuna Islands,CFP Franc,XPF
504,Western Sahara,Moroccan Dirham,MAD
886,Yemen,Yemeni Rial,YER
891,Yugoslavia,New Dinar,YUM
180,Zaire,New Zaire,ZRN
894,Zambia,Kwacha,ZMK
716,Zimbabwe,Zimbabwe Dollar,ZWD
959,,Gold Bond Markets Units,XAU
955,,European Composite Unit (EURCO),XBA
956,,European Monetary Unit (E.M.U.-6),XBB
957,,European Unit of Account 9 (E.U.A.- 9),XBC
958,,European Unit of Account 17 (E.U.A.- 17),XBD
964,,Palladium,XPD
962,,Platinum,XPT
961,,Silver,XAG
963,,Codes specifically reserved for testing purposes,XTS
999,,The codes assigned for transactions where no currency is involved are:,XXX
978,,Euro,EUR
